review_id,game_name,review_text,label,review_date,is_synthetic
900000441,pubg,"Silahların hasarını biraz daha düşürün, rakipleri öldürmek yerine onlara sarılmak istiyoruz artık.",feature_request(istek),2026-04-25,True
900000612,cs2,Her gün söverek girip 6 saat oynamak... Sanırım mazoşist bir ilişki yaşıyoruz bu oyunla.,nötr/ çöp,2026-04-25,True
900000380,pubg,"Silahların hasarını biraz daha düşürün, rakipleri öldürmek yerine onlara sarılmak istiyoruz artık.",feature_request(istek),2026-04-01,True
900000377,cs2,"Rank sistemini daha da bozun, gümüş oyuncularla elit oyuncular aynı maça gelsin ki rekabet tavan yapsın.",feature_request(istek),2026-04-24,True
900000411,cs2,"Hilecilere özel bir VIP odası açın, henüz her maçta 5 tane yoklar, sayıyı artırmanız lazım.",feature_request(istek),2026-04-15,True
900000435,dota2,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-03-31,True
900000817,dota2,"Bilgisayarım kaloriferden daha iyi ısıtıyor sayende, kış aylarında doğalgaz tasarrufu sağlıyorum. Bravo!",nötr/ çöp,2026-04-23,True
900000454,dota2,"Sunucuları biraz daha yavaşlatın, tepki süresi 3 saniye olunca oyun çok daha stratejik hale geliyor.",feature_request(istek),2026-04-22,True
900000491,pubg,"Yeni içerik yerine daha çok kumar öğesi ekleyin, kasa açmak oyun oynamaktan daha eğlenceli zaten.",feature_request(istek),2026-04-23,True
900000240,dota2,Oyunun her rekabetçi maçın ortasında çökmesi harika bir mola fırsatı sunuyor. Sağlığımızı düşündüğünüz için sağ olun.,bug(hata/hile),2026-04-16,True
900000153,dota2,Duvarların içinden geçip haritanın altına düşmek tam da beklediğim heyecandı. Fizik motorunuz bir sanat eseri.,bug(hata/hile),2026-04-26,True
900000290,cs2,FPS değerinin 100'den 10'a düşmesi slayt gösterisi sevenler için harika bir güncelleme olmuş. Elinize sağlık.,bug(hata/hile),2026-04-26,True
900000869,pubg,"Toxic kitle sayesinde sabrım çelik gibi oldu, artık hayatta hiçbir şey beni üzemez. Kişisel gelişim kursu gibisiniz.",nötr/ çöp,2026-04-22,True
900000105,cs2,Seslerin tamamen kaybolup sessiz sinema oynamamız muazzam bir yenilik. Atmosfer müthiş (!),bug(hata/hile),2026-04-22,True
900000397,pubg,"Yeni içerik yerine daha çok kumar öğesi ekleyin, kasa açmak oyun oynamaktan daha eğlenceli zaten.",feature_request(istek),2026-04-26,True
900000325,pubg,"Silahların hasarını biraz daha düşürün, rakipleri öldürmek yerine onlara sarılmak istiyoruz artık.",feature_request(istek),2026-04-12,True
900000077,pubg,Seslerin tamamen kaybolup sessiz sinema oynamamız muazzam bir yenilik. Atmosfer müthiş (!),bug(hata/hile),2026-03-29,True
900000270,cs2,Seslerin tamamen kaybolup sessiz sinema oynamamız muazzam bir yenilik. Atmosfer müthiş (!),bug(hata/hile),2026-04-02,True
900000049,pubg,Oyunun her rekabetçi maçın ortasında çökmesi harika bir mola fırsatı sunuyor. Sağlığımızı düşündüğünüz için sağ olun.,bug(hata/hile),2026-04-03,True
900000323,dota2,"Rank sistemini daha da bozun, gümüş oyuncularla elit oyuncular aynı maça gelsin ki rekabet tavan yapsın.",feature_request(istek),2026-04-25,True
900000877,pubg,"Sabah 4'te sinir krizi geçirmek için harika bir aktivite. Mouse kırmayı özlemişim, teknolojiye katkımız olsun.",nötr/ çöp,2026-04-05,True
900000490,cs2,Maç bulma süresini 30 dakikaya çıkarın ki arada bir kitap bitirebilelim. Oyuncuları kültüre yönlendirmeniz harika.,feature_request(istek),2026-04-23,True
900000362,dota2,"Yeni içerik yerine daha çok kumar öğesi ekleyin, kasa açmak oyun oynamaktan daha eğlenceli zaten.",feature_request(istek),2026-04-15,True
900000349,cs2,"Market fiyatlarını biraz daha artırın, cüzdanımızdaki para bize fazla geliyor. Sosyal adaleti böyle sağlayın (!)",feature_request(istek),2026-04-06,True
900000148,cs2,Duvarların içinden geçip haritanın altına düşmek tam da beklediğim heyecandı. Fizik motorunuz bir sanat eseri.,bug(hata/hile),2026-04-08,True
900000868,pubg,"Derslerimi ve geleceğimi bu oyun için yaktım, en azından bir 'Global' rütbem var. Değdi mi? Tabii ki hayır.",nötr/ çöp,2026-04-05,True
900000068,dota2,Karakterimin yere gömülüp madenci gibi takılması çok yaratıcı. Simülasyon içinde simülasyon yaşıyoruz.,bug(hata/hile),2026-04-03,True
900000878,dota2,Eşimi dostumu kaybettim ama en azından envanterim değerli. Yalnızlık hiç bu kadar pahalı olmamıştı.,nötr/ çöp,2026-03-30,True
900000640,cs2,Eşimi dostumu kaybettim ama en azından envanterim değerli. Yalnızlık hiç bu kadar pahalı olmamıştı.,nötr/ çöp,2026-03-28,True
900000743,dota2,"Sosyal hayatımı ve çevremi bu oyun uğruna feda ettim, karşılığında bir çift sanal eldiven aldım. Çok kârlı bir takas!",nötr/ çöp,2026-03-28,True
900000378,cs2,Maç bulma süresini 30 dakikaya çıkarın ki arada bir kitap bitirebilelim. Oyuncuları kültüre yönlendirmeniz harika.,feature_request(istek),2026-04-10,True
900000425,dota2,"Sunucuları biraz daha yavaşlatın, tepki süresi 3 saniye olunca oyun çok daha stratejik hale geliyor.",feature_request(istek),2026-04-10,True
900000616,cs2,"Bilgisayarım kaloriferden daha iyi ısıtıyor sayende, kış aylarında doğalgaz tasarrufu sağlıyorum. Bravo!",nötr/ çöp,2026-04-07,True
900000842,cs2,Her gün söverek girip 6 saat oynamak... Sanırım mazoşist bir ilişki yaşıyoruz bu oyunla.,nötr/ çöp,2026-04-19,True
900000893,cs2,"Sosyal hayatımı ve çevremi bu oyun uğruna feda ettim, karşılığında bir çift sanal eldiven aldım. Çok kârlı bir takas!",nötr/ çöp,2026-04-11,True
900000168,pubg,FPS değerinin 100'den 10'a düşmesi slayt gösterisi sevenler için harika bir güncelleme olmuş. Elinize sağlık.,bug(hata/hile),2026-03-28,True
900000554,cs2,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-04-27,True
900000466,dota2,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-03-31,True
900000107,dota2,Envanterimdeki eşyaların kendi kendine yok olması sihirbazlık gösterisi gibi. Çok etkileyici bir bug.,bug(hata/hile),2026-04-07,True
900000422,pubg,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-04-26,True
900000309,dota2,"Lütfen biraz daha kasa ve skin ekleyin, oyunun bozuk olması kimin umurunda? Paramızı harcayacak yer arıyoruz.",feature_request(istek),2026-04-17,True
900000172,pubg,FPS değerinin 100'den 10'a düşmesi slayt gösterisi sevenler için harika bir güncelleme olmuş. Elinize sağlık.,bug(hata/hile),2026-04-03,True
900000213,pubg,"Mermilerin rakipten geçip hasar vermemesi harika bir özellik, sanırım oyun barış ilan etmemi istiyor. Teşekkürler Valve!",bug(hata/hile),2026-04-04,True
900000036,cs2,Duvarların içinden geçip haritanın altına düşmek tam da beklediğim heyecandı. Fizik motorunuz bir sanat eseri.,bug(hata/hile),2026-04-26,True
900000022,dota2,Hitboxların yerinde olmaması vuruş hissini bambaşka bir boyuta taşımış. Vuramamak hiç bu kadar keyifli olmamıştı.,bug(hata/hile),2026-03-30,True
900000789,cs2,"Sabah 4'te sinir krizi geçirmek için harika bir aktivite. Mouse kırmayı özlemişim, teknolojiye katkımız olsun.",nötr/ çöp,2026-04-19,True
900000539,dota2,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-04-23,True
900000718,pubg,Eşimi dostumu kaybettim ama en azından envanterim değerli. Yalnızlık hiç bu kadar pahalı olmamıştı.,nötr/ çöp,2026-04-21,True
900000044,cs2,Envanterimdeki eşyaların kendi kendine yok olması sihirbazlık gösterisi gibi. Çok etkileyici bir bug.,bug(hata/hile),2026-04-07,True
900000525,dota2,"Sunucuları biraz daha yavaşlatın, tepki süresi 3 saniye olunca oyun çok daha stratejik hale geliyor.",feature_request(istek),2026-04-16,True
900000463,pubg,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-03-31,True
900000286,cs2,FPS değerinin 100'den 10'a düşmesi slayt gösterisi sevenler için harika bir güncelleme olmuş. Elinize sağlık.,bug(hata/hile),2026-04-10,True
900000819,dota2,5000 saat oynadım ama hala neden oynadığımı bilmiyorum. Bağımlılık yapma şekliniz takdire şayan.,nötr/ çöp,2026-04-21,True
900000446,dota2,"Sesli sohbeti tamamen kaldırıp dumanla haberleşmemizi sağlayın, nostalji yaşatmanız çok hoş olurdu.",feature_request(istek),2026-04-17,True
900000401,dota2,"Hilecilere özel bir VIP odası açın, henüz her maçta 5 tane yoklar, sayıyı artırmanız lazım.",feature_request(istek),2026-04-21,True
900000278,pubg,Hitboxların yerinde olmaması vuruş hissini bambaşka bir boyuta taşımış. Vuramamak hiç bu kadar keyifli olmamıştı.,bug(hata/hile),2026-04-24,True
900000057,cs2,FPS değerinin 100'den 10'a düşmesi slayt gösterisi sevenler için harika bir güncelleme olmuş. Elinize sağlık.,bug(hata/hile),2026-04-27,True
900000010,dota2,Oyunun her rekabetçi maçın ortasında çökmesi harika bir mola fırsatı sunuyor. Sağlığımızı düşündüğünüz için sağ olun.,bug(hata/hile),2026-04-08,True
900000671,cs2,Eşimi dostumu kaybettim ama en azından envanterim değerli. Yalnızlık hiç bu kadar pahalı olmamıştı.,nötr/ çöp,2026-03-30,True
900000698,cs2,5000 saat oynadım ama hala neden oynadığımı bilmiyorum. Bağımlılık yapma şekliniz takdire şayan.,nötr/ çöp,2026-04-03,True
900000680,dota2,"Hayatımı kararttığın için teşekkürler, sayende gerçek dünyanın ne kadar sıkıcı olduğunu anladım.",nötr/ çöp,2026-04-04,True
900000406,cs2,"Lütfen biraz daha kasa ve skin ekleyin, oyunun bozuk olması kimin umurunda? Paramızı harcayacak yer arıyoruz.",feature_request(istek),2026-04-22,True
900000334,dota2,"Sunucuları biraz daha yavaşlatın, tepki süresi 3 saniye olunca oyun çok daha stratejik hale geliyor.",feature_request(istek),2026-04-11,True
900000176,cs2,Hilecilerin gökyüzünde uçarak beni vurması çok adaletli bir deneyim. Sanırım oyuna süper kahraman modu eklediniz.,bug(hata/hile),2026-03-31,True
900000116,cs2,Hilecilerin gökyüzünde uçarak beni vurması çok adaletli bir deneyim. Sanırım oyuna süper kahraman modu eklediniz.,bug(hata/hile),2026-04-27,True
900000410,dota2,"Oyuna daha çok reklam ve sponsorlu içerik ekleyin, maçın ortasında ne güzel olurdu. İnanılmaz bir vizyon.",feature_request(istek),2026-04-02,True
900000522,pubg,"Rank sistemini daha da bozun, gümüş oyuncularla elit oyuncular aynı maça gelsin ki rekabet tavan yapsın.",feature_request(istek),2026-03-30,True
